                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8261,                 9.7962,                 2.7735,                0.01076,                0.11364,                0.00501,                0.00089,                 3.0015,                 146.12,                 1.5521,                 0.0002,                 0.0002,                 0.0002
                      1,                 2.4267,                 3.9167,                 1.7232,                0.31454,                0.45455,                0.28665,                0.09402,                 2.5547,                  18.96,                 1.5621,             0.00041584,             0.00041584,             0.00041584
                      2,                 2.1578,                 2.8655,                 1.5912,                0.24162,                   0.25,                0.12432,                0.02795,                 3.3228,                 17.419,                 2.2787,             0.00062733,             0.00062733,             0.00062733
                      3,                 2.2006,                 2.6088,                 1.5205,                0.25753,                0.27273,                0.14547,                0.03719,                 2.7585,                 8.9174,                 1.7304,             0.00083446,             0.00083446,             0.00083446
                      4,                 2.2809,                  2.637,                 1.6366,                 0.1066,                0.27273,                  0.082,                0.02153,                 3.1696,                 6.3299,                 1.6469,              0.0010372,              0.0010372,              0.0010372
                      5,                 2.2172,                 2.5068,                 1.5944,                0.29941,                0.20455,                 0.1951,                0.05761,                 2.7267,                 6.1024,                 1.5906,              0.0012357,              0.0012357,              0.0012357
                      6,                  2.188,                 2.3916,                 1.6122,                0.17073,                0.31818,                0.10363,                0.03389,                 2.5889,                 52.055,                 2.7601,              0.0014297,              0.0014297,              0.0014297
                      7,                 2.3176,                 2.4035,                 1.6849,                0.02842,                   0.25,                0.01046,                0.00227,                 3.8479,                    414,                 8.4726,              0.0016194,              0.0016194,              0.0016194
                      8,                 2.2631,                 2.4855,                 1.6297,                 0.0303,                0.04545,                0.01293,                0.00293,                 3.1477,                 167.78,                 3.6772,              0.0018048,              0.0018048,              0.0018048
                      9,                 2.1405,                 2.3548,                 1.6343,                0.01064,                0.06818,                0.00591,                0.00147,                 3.5237,                  315.6,                 3.9353,              0.0018218,              0.0018218,              0.0018218
                     10,                 2.2962,                  2.444,                 1.6555,                0.00108,                0.22727,                0.00059,                0.00019,                 3.0851,                    inf,                 4.5856,              0.0018218,              0.0018218,              0.0018218
                     11,                  2.155,                 2.3094,                 1.5878,                0.00122,                0.09091,                0.00102,                 0.0003,                 3.1106,                    inf,                 3.2494,               0.001802,               0.001802,               0.001802
